# Requirement-to-test traceability matrix. Owned by DOC-16 section 16; format per DOC-00 section 8.3.
# Generated by tools/generate_matrix.py from _traceability/requirements.csv and the source tree.
#
# Three cell values, because a blank and a gap are different things:
#   <value>          the artifact, cited by requirement identifier in the source
#   N/A (reason)     the requirement owes no artifact: superseded, or verified by a
#                    method that produces no code (design inspection, demonstration,
#                    code review, architecture review, penetration test)
#   MISSING (reason) no artifact of that kind cites the requirement -- this is a GAP.
#                    Some requirements legitimately need no table and no endpoint, which is
#                    why only the test_case_id column feeds a release gate. This tool cannot
#                    tell the two apart, and says MISSING rather than guessing N/A.
#
# Evidence is a requirement identifier cited in source. That means somebody wrote the
# identifier next to the code; it is coverage, not conformance.
#
# 'Passing' is per test CLASS, from the JUnit XML: Gradle writes @DisplayName into the
# name attribute, so the method name is absent from the results. A @Disabled method is
# detected in source and never counted as passing.
#
# Release gates: see _traceability/GAPS.md.
requirement_id,owning_doc,design_ref,schema_ref,api_ref,test_case_id,verification_method,status,notes
NFR-VUL-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
NFR-WRK-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
NFR-WRK-002,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-001,DOC-15,"N/A (verified by architecture review; the artifact is the review record, document inspection; no code artifact is owed)","N/A (verified by architecture review; the artifact is the review record, document inspection; no code artifact is owed)","N/A (verified by architecture review; the artifact is the review record, document inspection; no code artifact is owed)","N/A (verified by architecture review; the artifact is the review record, document inspection; no automated test is owed)",ARCHITECTURE_REVIEW|DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-002,DOC-15,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-003,DOC-15,package-info,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),ARCHITECTURE_REVIEW|AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-004,DOC-15,RequestScope,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-005,DOC-15,RuntimeUnit,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),DeploymentTopologyTest#everyUnitDeclaresLimits,AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-006,DOC-15,RuntimeUnit,"N/A (verified by architecture review; the artifact is the review record, document inspection; no code artifact is owed)","N/A (verified by architecture review; the artifact is the review record, document inspection; no code artifact is owed)",DeploymentTopologyTest#matchWorkersAreIsolated,ARCHITECTURE_REVIEW|DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-007,DOC-15,EgressAllowlist; RuntimeUnit,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),DeploymentTopologyTest#egressIsPerUnit,AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-008,DOC-15,AspmApplication; HttpRuntime; RuntimeUnit,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),ApplicationTierTest#theRealRouteTableConstructs; DeploymentTopologyTest#probesAreSeparate,AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-009,DOC-15,AspmApplication; DatabaseCredential; src/deployment/build.gradle.kts,V001__tenant_context_and_enforcement.sql,MISSING (no API operation cites this requirement),DeploymentTopologyTest#bypassCredentialsAreAbsentFromRuntime; DeploymentTopologyTest#bypassUseIsAudited; DeploymentTopologyTest#runtimeUnitsGetTheEnforcedCredential; +2 more,AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-010,DOC-15,ConnectionPoolPolicy; Dispatcher; IdentityService; +5 more,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),DeploymentTopologyTest#returnResetsSessionState; IsolationPathInventoryTest#restore,AUTOMATED_TEST|PENETRATION_TEST,Active,priority MUST_HAVE
OPS-DEP-011,DOC-15,PartitionPlan; Runbook,"audit_partition_runway_months (function, V002__audit_event.sql); ensure_audit_partitions (function, V002__audit_event.sql); ensure_automation_execution_partitions (function, V009__work_management.sql); +4 more",MISSING (no API operation cites this requirement),KernelPersistenceVerificationTest#aNewRangeTableIsCoveredWithoutTouchingTheReport; KernelPersistenceVerificationTest#everyRangePartitionedTableHasRunway; KernelPersistenceVerificationTest#hashPartitionCountsMatchTheRecordedBasis; +4 more,AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-012,DOC-15,PartitionPlan,"component (table, V011__composition_analysis.sql); ensure_audit_partitions (function, V002__audit_event.sql); ensure_risk_score_partitions (function, V008__risk_and_service_levels.sql); +3 more",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#aBlankBasisIsRejected; KernelPersistenceVerificationTest#closedEdgeCannotBeReopened; KernelPersistenceVerificationTest#compositionPartitionCountsAligned; +3 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-013,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-014,DOC-15,EgressAllowlist; RuntimeUnit,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),DeploymentTopologyTest#egressIsPerUnit,AUTOMATED_TEST|PENETRATION_TEST,Active,priority MUST_HAVE
OPS-DEP-015,DOC-15,EgressAllowlist,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|PENETRATION_TEST,Active,priority MUST_HAVE
OPS-DEP-016,DOC-15,HttpRuntime; ResourceCatalogue; ServingOrigin,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),DeploymentTopologyTest#uploadedContentIsADistinctOrigin,AUTOMATED_TEST|PENETRATION_TEST,Active,priority MUST_HAVE
OPS-DEP-017,DOC-15,HttpRuntime; RuntimeUnit,N/A (verified by architecture review; the artifact is the review record; no code artifact is owed),N/A (verified by architecture review; the artifact is the review record; no code artifact is owed),N/A (verified by architecture review; the artifact is the review record; no automated test is owed),ARCHITECTURE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-018,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-019,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-020,DOC-15,N/A (verified by code review; the artifact is the review record; no code artifact is owed),N/A (verified by code review; the artifact is the review record; no code artifact is owed),N/A (verified by code review; the artifact is the review record; no code artifact is owed),N/A (verified by code review; the artifact is the review record; no automated test is owed),CODE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-021,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-022,DOC-15,DatabaseCredential; Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-023,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-024,DOC-15,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-025,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-026,DOC-15,PipelineGate; src/build.gradle.kts,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),PipelineAndRunbookTest#anExemptionIsRecordedAndReviewed; PipelineAndRunbookTest#tenBlockingGates; PipelineAndRunbookTest#theInvisibleFailureGatesArePresent,AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-027,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-028,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-029,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-030,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-031,DOC-15,DatabaseCredential; Runbook,"tenant_isolation_gaps (function, V001__tenant_context_and_enforcement.sql)",MISSING (no API operation cites this requirement),IsolationPathInventoryTest#fingerprintDeduplication,AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-032,DOC-15,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority MUST_HAVE
OPS-DEP-033,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-034,DOC-15,Runbook,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority MUST_HAVE
OPS-DEP-035,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),IsolationPathInventoryTest#migration,AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-036,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-037,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-038,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-039,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-040,DOC-15,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority MUST_HAVE
OPS-DEP-041,DOC-15,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority MUST_HAVE
OPS-DEP-042,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-043,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|ARCHITECTURE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-044,DOC-15,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
OPS-DEP-045,DOC-15,Runbook,"audit_anchor_gaps (function, V003__audit_chain_head_and_checkpoint.sql)",MISSING (no API operation cites this requirement),KernelPersistenceVerificationTest#unconfirmedAnchorIsReportable,AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-046,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-047,DOC-15,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
OPS-DEP-048,DOC-15,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
OPS-DEP-049,DOC-15,Runbook,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)",PipelineAndRunbookTest#nothingIsRehearsedYet,DEMONSTRATION,Active,priority MUST_HAVE
OPS-DEP-050,DOC-15,Runbook,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),PipelineAndRunbookTest#containmentBeforeDiagnosis,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
PRD-AIC-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-002,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-003,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-004,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|MANUAL_TEST,Active,priority MUST_HAVE
PRD-AIC-005,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-006,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|PENETRATION_TEST,Active,priority MUST_HAVE
PRD-AIC-007,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-008,DOC-01,ConstrainedRichText,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),CollaborationTest#textExitIsGreppable,AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-009,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
PRD-AIC-010,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-011,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-012,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-013,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-014,DOC-01,N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no automated test is owed),MANUAL_TEST,Active,priority MUST_HAVE
PRD-AIC-015,DOC-01,N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no automated test is owed),MANUAL_TEST,Active,priority MUST_HAVE
PRD-AIC-016,DOC-01,N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no automated test is owed),MANUAL_TEST,Active,priority SHOULD_HAVE
PRD-AIC-017,DOC-01,N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no automated test is owed),MANUAL_TEST,Active,priority SHOULD_HAVE
PRD-AIC-018,DOC-01,N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no code artifact is owed),N/A (verified by manual test; no automated test is owed),MANUAL_TEST,Active,priority SHOULD_HAVE
PRD-AIC-019,DOC-01,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority SHOULD_HAVE
PRD-AIC-020,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
PRD-AIC-021,DOC-10,AiAssistanceModule; package-info,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),AiContainmentTest#<class-level citation>; AiContainmentTest#noCompileTimeDependencyOnADomainModule; AiContainmentTest#noWriteGrantInAnyMigration; +1 more,AUTOMATED_TEST|ARCHITECTURE_REVIEW,Active,priority MUST_HAVE
PRD-AIC-022,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
PRD-AIC-023,DOC-10,Runbook,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-024,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|DOCUMENT_INSPECTION,Active,priority MUST_HAVE
PRD-AIC-025,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-026,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-027,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|PENETRATION_TEST,Active,priority MUST_HAVE
PRD-AIC-028,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-029,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
PRD-AIC-030,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|PENETRATION_TEST,Active,priority MUST_HAVE
PRD-AIC-031,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-032,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-033,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-034,DOC-10,EvaluationHarness; NarrativeBinding,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),AiAssistanceTest#<class-level citation>,AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-035,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-036,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|DOCUMENT_INSPECTION,Active,priority MUST_HAVE
PRD-AIC-037,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
PRD-AIC-038,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority SHOULD_HAVE
PRD-AIC-039,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
PRD-AIC-040,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
PRD-AIC-041,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-042,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-043,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-044,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-045,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-046,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|MANUAL_TEST,Active,priority MUST_HAVE
PRD-AIC-047,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-048,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|DEMONSTRATION,Active,priority MUST_HAVE
PRD-AIC-049,DOC-10,EvaluationHarness; PipelineGate,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),AiAssistanceTest#failuresCarryDetail; AiAssistanceTest#fiveAbsolutes; AiAssistanceTest#placeholderGrammarIsNarrow,AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-050,DOC-10,EvaluationHarness,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),AiAssistanceTest#fourTriggers,AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-051,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-052,DOC-10,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority SHOULD_HAVE
PRD-AIC-053,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-054,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-055,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
PRD-AIC-056,DOC-10,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|ARCHITECTURE_REVIEW,Active,priority MUST_HAVE
PRD-API-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
